WarNum,WarName,V5RegionNum,WarType,CcodeA,SideA,SideB,Intnl,StartMo1,StartDy1,StartYr1,EndMo1,EndDy1,EndYr1,StartMo2,StartDy2,StartYr2,EndMo2,EndDy2,EndYr2,StartMo3,StartDy3,StartYr3,EndMo3,EndDy3,EndYr3,StartMo4,StartDy4,StartYr4,EndMo4,EndDy4,EndYr4,WDuratDays,WDuratMo,TotNatMonWar,TransFrom,Initiator,Outcome,TransTo,DeathsSideA,DeathsSideB,TotalBDeaths,Version
874,Kashmir Insurgency of 1992-2005,6,5,750,India,Kashmiri Guerillas,0,1,1,1992,12,31,2005,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5041,168.03,168.03,-8,IKLF,7,-8,5000,18476,23476,5.1
874.5,First Somaliland War of 1992,4,7,-8,Tur Loyalists,Other Clan Militias,0,1,-9,1992,8,-9,1992,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,211,7.03,7.03,-8,Tur Loyalists,3,-8,-9,-9,1300,5.1
875,Algeria's Islamic Front War of 1992-2002,5,4,615,Algeria,Islamic Front,0,2,8,1992,-9,-9,2002,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3728,124.27,124.27,-8,Islamic Front,7,-8,5000,15200,25200,5.1
877.5,Afghanistan Post-Communist War of 1992-2001,6,4,700,Afghanistan,Mujahideen,0,6,28,1992,10,6,2001,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3339,111.3,111.3,-8,Islamic Party,4,225,-9,-9,40000,5.1
880,Angolan War of the Cities of 1992-1994,4,4,540,Angola,UNITA,0,10,28,1992,11,15,1994,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,738,24.6,24.6,-8,UNITA,3,-8,-9,-9,50000,5.1
881,Third Khmer Rouge War of 1993-1998,6,4,811,Cambodia,Khmer Rouge,0,1,1,1993,3,26,1998,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1886,62.87,62.87,-8,Cambodia,1,-8,-9,-9,10000,5.1
882,Masisi War of 1993,4,7,-8,Banyarwanda Militia,Bangilima Militia,0,3,20,1993,7,-9,1993,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,116,3.87,3.87,-8,Bangilima Militia,6,-8,1750,1750,3500,5.1
883,Second Burundi War of 1993-1998,4,4,516,Burundi,Tutsi,0,10,21,1993,7,20,1998,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1710,57,57,-8,Tutsi,7,-8,-9,-9,5000,5.1
885,South Yemeni Secessionist Revolt of 1994,5,5,679,Yemen,South Yemen,0,2,21,1994,7,7,1994,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,137,4.57,4.57,-8,Yemen,1,-8,1226,1774,3000,5.1
886,Second Rwanda War of 1994,4,4,517,Rwanda,RPF,0,4,6,1994,7,18,1994,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,103,3.43,3.43,-8,Rwanda,2,-8,-9,-9,1000,5.1
887,First Iraqi Kurds Internecine War of 1994-1995,5,7,-8,PUK,KDP and IMK,0,5,1,1994,4,-9,1995,7,-9,1995,8,11,1995,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,372,12.4,12.4,-8,IMK,6,-8,-9,-9,1500,5.1
887.5,Second Somaliland War of 1994 to 1995,4,7,-8,Somaliland,Garhaji Militias,0,10,16,1994,4,-9,1995,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,180,6,6,-8,Somaliland,6,-8,-9,-9,3000,5.1
888,First Chechnya War of 1994-1996,3,5,365,Russia,Chechnya,0,12,11,1994,8,31,1996,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,621,20.7,20.7,-8,Chechnya,2,-8,4000,6000,10000,5.1
891,Croatia-Krajina War of 1995,3,5,344,Croatia,Krajinia Serbs,0,5,-9,1995,11,-9,1995,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,181,6.03,6.03,-8,Krajinia Serba,1,-8,-9,-9,1000,5.1
